A;Augsburg (Stadt und Kreis) 
AA;Ostalbkreis 
AB;Aschaffenburg (Stadt und Kreis) 
ABG;Altenburger Land
ABI;Anhalt-Bitterfeld
AC;Aachen
AE;Vogtlandkreis
AH;Borken 
AIB;Rosenheim, Landkreis München 
AIC;Aichach-Friedberg 
AK;Altenkirchen Westerwald
ALF;Hildesheim
ALZ;Aschaffenburg 
AM;Amberg 
AN;Ansbach (Stadt und Kreis) 
ANA;Erzgebirgskreis
ANG;Uckermark
ANK;Vorpommern-Greifswald
AÖ;Altötting
AP;Weimarer Land
APD;Weimarer Land
ARN;Ilm-Kreis
ART;Kyffhäuserkreis
AS;Amberg-Sulzbach
ASL;Salzlandkreis
ASZ;Erzgebirgskreis 
AT;Mecklenburgische Seenplatte 
AU;Erzgebirgskreis 
AUR;Aurich
AW;Ahrweiler 
AZ;Alzey-Worms 
AZE;Anhalt-Bitterfeld 
B;Berlin
BA;Bamberg (Stadt und Kreis)
BAD;Baden-Baden
BAR;Barnim
BB;Böblingen
BBG;Salzlandkreis
BC;Biberach
BCH;Neckar-Odenwald-Kreis
BE;Warendorf
BED;Landkreis Mittelsachsen
BER;Barnim
BF;Steinfurt
BGL;Berchtesgadener Land
BH;Rastatt
BI;Bielefeld
BID;Marburg-Biedenkopf
BIN;Mainz-Bingen
BIR;Birkenfeld Nahe Kreis, Idar-Oberstein
BIT;Bitburg-Prüm (Eifelkreis) 
BIW;Landkreis Bautzen 
BK;Landkreis Börde, Rems-Murr- Kreis 
BKS;Bernkastel-Wittlich 
BL;Zollernalbkreis
BLB;Siegen-Wittgenstein 
BLK;Burgenlandkreis
BM;Rhein-Erft-Kreis 
BN;Bonn 
BNA;Landkreis Leipzig 
BO;Bochum
BÖ;Landkreis Börde 
BOH;Borken 
BOR;Borken
BOT;Bottrop 
BRA;Wesermarsch 
BRB;Brandenburg 
BRG;Jerichower Land 
BRK;Bad Kissingen 
BRL;Goslar 
BRV;Rotenburg (Wümme) 
BS;Braunschweig 
BT;Bayreuth (Stadt und Kreis) 
BTF;Landkreis Anhalt-Bitterfeld
BUL;Schwandorf, Amberg-Sulzbach 
BÜD;Wetteraukreis 
BÜR;Paderborn 
BÜS;Konstanz, Gemeinde Büsingen am Hochrhein 
BÜZ;Landkreis Rostock 
BZ;Landkreis Bautzen 
C;Chemnitz
CA;Oberspreewald-Lausitz 
CAS;Recklinghausen
CB;Cottbus
CE;Celle
CHA;Cham
CLP;Cloppenburg
CLZ;Goslar
CO;Coburg (Stadt und Kreis)
COC;Cochem-Zell
COE;Coesfeld
CR;Schwäbisch Hall
CUX;Cuxhaven
CW;Calw 
D;Düsseldorf
DA;Darmstadt
DA;Darmstadt-Dieburg 
DAH;Dachau 
DAN;Lüchow-Dannenberg 
DAU;Daun
DBR;Landkreis Rostock 
DD;Dresden 
DE;Dessau-Roßlau
DEG;Deggendorf
DEL;Delmenhorst
DGF;Dingolfing-Landau 
DH;Diepholz 
DI;Darmstadt-Dieburg
DIL;Lahn-Dill-Kreis
DIN;Wesel
DIZ;Rhein-Lahn-Kreis
